price,area,province_name,district_name,ward_name,floor_count,frontage_width,bedroom_count,bathroom_count,house_direction
22.15835036247383,100.0,Bình Dương,Thuận An,An Phú,1.0,5.0,5.0,5.0,Tây - Nam
23.248994481334666,62.0,Hồ Chí Minh,7,Bình Thuận,4.0,4.7,4.0,3.0,Unknown
22.50329005012468,78.0,Hồ Chí Minh,Bình Tân,Bình Trị Đông,4.0,5.0,3.0,3.0,Unknown
22.711140185237742,30.0,Hà Nội,Thanh Xuân,Khương Trung,4.0,4.7,4.0,4.0,Unknown
22.38149391374042,50.4,Hồ Chí Minh,Unknown,Unknown,3.0,4.7,4.0,3.0,Unknown
23.591164739047336,43.0,Hà Nội,Ba Đình,Điện Biên,7.0,3.2,4.0,3.0,Bắc
24.730599022197065,193.1,Hồ Chí Minh,Tân Bình,2,4.0,10.0,4.0,3.0,Unknown
22.654787248694554,53.0,Hồ Chí Minh,Bình Tân,Bình Trị Đông,4.0,4.0,4.0,4.0,Unknown
23.55647918106145,33.0,Hà Nội,Cầu Giấy,Nghĩa Đô,4.0,4.7,4.0,3.0,Unknown
23.093509578507728,80.1,Hồ Chí Minh,Thủ Đức,Hiệp Bình Phước,4.0,4.5,4.0,4.0,Unknown
24.23481127580728,65.0,Hà Nội,Cầu Giấy,Mai Dịch,8.0,6.6,6.0,6.0,Unknown
23.867418115661778,65.0,Hà Nội,Ba Đình,Unknown,6.0,6.0,5.0,6.0,Unknown
23.19980423714793,72.0,Hồ Chí Minh,Bình Thạnh,17,2.0,4.25,2.0,2.0,Unknown
22.045021677195397,43.0,Hà Nội,Hoài Đức,Trạm Trôi,4.0,4.0,4.0,4.0,Unknown
24.594466847875136,90.0,Hà Nội,Ba Đình,Unknown,4.0,6.2,4.0,3.0,Unknown
23.074641094205127,151.0,Hồ Chí Minh,Thủ Đức,Phước Long B,4.0,5.5,4.0,3.0,Unknown
23.32595552246487,47.0,Hà Nội,Ba Đình,Liễu Giai,4.0,5.0,4.0,3.0,Unknown
23.045653557334674,109.0,Hồ Chí Minh,Gò Vấp,Unknown,4.0,6.8,4.0,1.0,Unknown
23.208172486817745,80.0,Hồ Chí Minh,6,11,4.0,4.0,4.0,3.0,Unknown
25.377226187113457,240.0,Hồ Chí Minh,3,9,4.0,22.0,4.0,3.0,Unknown
22.81512989874826,30.0,Hà Nội,Bắc Từ Liêm,Xuân Đỉnh,4.0,5.0,3.0,4.0,Unknown
23.641036569084743,150.0,Hồ Chí Minh,7,Phú Thuận,4.0,5.0,5.0,5.0,Unknown
22.03159865686686,34.0,Hồ Chí Minh,10,Unknown,4.0,4.7,2.0,2.0,Unknown
23.7189981105504,152.0,Hồ Chí Minh,Tân Phú,Tây Thạnh,4.0,6.5,4.0,3.0,Unknown
22.66917598614458,38.0,Hà Nội,Nam Từ Liêm,Mỹ Đình 2,5.0,5.0,4.0,4.0,Unknown
22.86333200056033,77.0,Hồ Chí Minh,12,Đông Hưng Thuận,4.0,4.7,4.0,5.0,Unknown
24.01539212359138,115.0,Hà Nội,Đống Đa,Ô Chợ Dừa,4.0,8.0,4.0,3.0,Unknown
23.208172486817745,60.0,Hà Nội,Đống Đa,Kim Liên,4.0,4.7,2.0,2.0,Unknown
23.00564822272498,72.0,Hồ Chí Minh,Tân Phú,Tân Thành,3.0,4.0,4.0,4.0,Unknown
23.208172486817745,50.0,Hà Nội,Hà Đông,La Khê,4.0,4.7,4.0,3.0,Unknown
22.711140185237742,51.0,Hà Nội,Bắc Từ Liêm,Đông Ngạc,2.0,4.7,4.0,3.0,Unknown
23.397414486441907,46.0,Hà Nội,Hà Đông,Văn Quán,4.0,4.7,5.0,5.0,Unknown
22.56381547050263,40.0,Hà Nội,Thanh Trì,Tứ Hiệp,4.0,4.7,4.0,3.0,Unknown
22.407811222052846,30.0,Hà Nội,Hoài Đức,Vân Canh,5.0,3.7,3.0,4.0,Tây - Bắc
22.79643776573844,45.0,Đà Nẵng,Ngũ Hành Sơn,Mỹ An,1.0,3.5,3.0,1.0,Unknown
23.074641094205127,90.0,Khánh Hòa,Nha Trang,Phước Hải,3.0,4.7,3.0,3.0,Unknown
21.639556569220566,105.0,Đắk Lắk,Buôn Ma Thuột,Unknown,4.0,5.0,2.0,3.0,Đông
23.85876005291904,160.0,Hồ Chí Minh,Tân Phú,Tây Thạnh,4.0,4.7,4.0,5.0,Đông Bắc
22.64018844927553,68.7,Hồ Chí Minh,Thủ Đức,Phước Long B,4.0,4.7,4.0,3.0,Unknown
23.20232207314006,45.0,Hà Nội,Hà Đông,Vạn Phúc,4.0,4.7,4.0,3.0,Unknown
23.981362375006356,96.0,Hồ Chí Minh,Gò Vấp,Unknown,4.0,6.0,4.0,3.0,Unknown
22.898017558544208,105.0,Hồ Chí Minh,12,Tân Chánh Hiệp,4.0,4.7,4.0,5.0,Unknown
21.365119723645122,60.0,Bình Dương,Thuận An,Bình Hòa,4.0,4.7,2.0,2.0,Unknown
24.051892525809574,68.0,Hà Nội,Đống Đa,Láng Hạ,6.0,5.0,4.0,3.0,Unknown
23.7189981105504,82.0,Hà Nội,Nam Từ Liêm,Mỹ Đình 2,4.0,4.7,4.0,3.0,Unknown
22.32265341372903,26.0,Hồ Chí Minh,Bình Thạnh,12,4.0,4.7,3.0,3.0,Đông
23.81430829035018,62.0,Hồ Chí Minh,10,Unknown,4.0,4.7,4.0,3.0,Unknown
21.659359196508902,42.0,Hồ Chí Minh,Bình Thạnh,25,4.0,4.7,4.0,4.0,Unknown
22.76448616593592,75.3,Hồ Chí Minh,Bình Thạnh,12,4.0,4.2,1.0,1.0,Unknown
22.428013929366653,97.0,Hồ Chí Minh,Thủ Đức,Bình Trưng Tây,4.0,4.7,4.0,3.0,Unknown
22.56381547050263,39.0,Hà Nội,Long Biên,Thượng Thanh,5.0,3.3,3.0,2.0,Nam
23.743690723139554,60.0,Hà Nội,Cầu Giấy,Unknown,4.0,5.0,4.0,3.0,Unknown
22.287706383658982,31.5,Hồ Chí Minh,Tân Bình,1,3.0,3.5,2.0,3.0,Unknown
22.498218188027575,62.0,Hồ Chí Minh,6,12,3.0,4.7,3.0,3.0,Unknown
23.00564822272498,53.3,Hà Nội,Bắc Từ Liêm,Thụy Phương,6.0,4.1,5.0,5.0,Unknown
23.248994481334666,48.0,Hà Nội,Nam Từ Liêm,Cầu Diễn,4.0,4.0,4.0,4.0,Unknown
22.79643776573844,41.0,Hà Nội,Ba Đình,Kim Mã,4.0,4.7,3.0,4.0,Unknown
21.6978254773219,132.5,Phú Yên,Tuy Hòa,Unknown,2.0,4.7,4.0,3.0,Đông Nam
23.641036569084743,40.0,Hà Nội,Long Biên,Bồ Đề,6.0,4.7,3.0,3.0,Unknown
22.506657056672015,100.0,Hồ Chí Minh,12,Tân Thới Nhất,4.0,5.2,2.0,2.0,Đông
24.33418374961766,135.0,Hà Nội,Nam Từ Liêm,Mỹ Đình 1,4.0,7.0,4.0,3.0,Unknown
24.1244632186419,94.0,Hồ Chí Minh,8,Unknown,4.0,4.7,4.0,3.0,Unknown
22.858615010682747,90.0,Hồ Chí Minh,Bình Chánh,Bình Chánh,4.0,4.7,4.0,3.0,Unknown
23.81430829035018,78.0,Hà Nội,Cầu Giấy,Quan Hoa,4.0,9.0,5.0,6.0,Unknown
